#Tmax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17,BS1,BS2,BS3,BS4,BS5,BS6,BS7,BS8,BS9,BS10,BS11,BS12,BS13,BS14,BS15,BS16,BS17
TIMESTEP,MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),MEAN(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),VARIANCE(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C),STD_DEV(C)
1980-1-01T00:00:00Z,16.12423074,15.00944834,14.15662617,15.51752754,14.15305682,13.15050846,16.21818685,14.30656827,15.06888229,15.32636629,14.08034275,14.67989212,15.99290422,14.96928691,15.52737929,15.25113534,15.94349058,1.355473117,4.455409275,1.771929086,0.3918929619,1.33053101,1.480926906,0.1785415962,0.7420310069,1.334545845,1.417278385,1.566589312,0.8336237575,0.4056559421,1.241052044,0.9730197793,1.09318943,0.01074157767,1.164247876,2.110784043,1.331138267,0.6260135477,1.153486458,1.216933402,0.4225418277,0.8614122166,1.155225452,1.190495017,1.251634656,0.9130299872,0.6369112514,1.114025154,0.9864176495,1.045556995,0.1036415827
1980-2-01T00:00:00Z,17.42397432,16.14220688,15.08943494,16.60319819,14.86883308,13.86474574,17.57622714,15.11380073,16.17970645,16.6643023,14.92031259,15.68230722,17.20181944,16.08401328,16.83818395,16.34877802,17.8048113,1.635823868,5.856486181,2.861634619,0.6833528738,1.484324519,1.786960631,0.1727018457,1.293757862,2.076441635,2.169826812,2.445710245,1.592791763,0.5128804621,2.185671486,1.761408086,1.870637425,0.02320231839,1.278993303,2.420017806,1.691636669,0.8266516036,1.218328576,1.336772468,0.4155741158,1.137434773,1.440986341,1.473033201,1.563876672,1.262058542,0.7161567301,1.478401666,1.327180503,1.367712479,0.1523230724
1980-3-01T00:00:00Z,16.77064091,15.63041384,14.35732782,15.64625987,14.23002284,13.44406781,16.85860807,14.09896674,15.36839966,15.90428777,14.25432959,14.74773568,16.50287333,15.21973467,16.02124137,15.49798327,17.12509432,1.727500823,5.039242949,2.568016509,1.113529847,1.106061865,1.253251313,0.2718544836,0.9775232785,2.149293817,2.137271022,2.207086298,1.70994291,0.7211811479,2.51657872,2.28756633,2.093300881,0.04166083827,1.314344256,2.244825817,1.602503201,1.055239237,1.051694759,1.119487076,0.5213966662,0.988697769,1.466047004,1.461940841,1.485626568,1.307647854,0.8492238503,1.586372819,1.512470274,1.446824413,0.2041098681
1980-4-01T00:00:00Z,17.77923077,17.3775862,17.45022969,18.07028146,17.3990969,16.89067802,17.96661174,17.52409597,17.83955122,17.96667149,17.36310667,17.78011523,17.95468588,17.76300162,17.98588505,17.92288618,18.39084908,0.4417276692,0.955728688,0.503413018,0.1707577777,0.4112193141,0.3238573147,0.2113777482,0.3582359991,0.2566412591,0.2533384845,0.3555918567,0.2630254263,0.1629523267,0.2450196744,0.2542393972,0.3902940269,0.08719458165,0.6646259619,0.9776137724,0.7095160449,0.4132284813,0.6412638412,0.5690846288,0.4597583585,0.598528194,0.5065977291,0.5033274128,0.5963152326,0.5128600455,0.4036735397,0.4949946206,0.5042215755,0.6247351654,0.2952872866
1980-5-01T00:00:00Z,16.34102572,16.4031724,17.23097196,17.46655158,17.40097411,16.99644073,16.57523809,17.39084869,17.25074514,17.14773252,17.22217989,17.46747211,16.83516649,17.25366506,16.92154027,17.35492083,17.07018874,0.9759837229,0.3372037366,0.2816899911,0.3983207114,0.3326065163,0.1032501249,0.6009399484,0.1883155053,0.44204237,0.4587549959,0.2797867825,0.2056215809,0.6188221419,0.2636404777,0.8385090903,0.4796052887,0.3796867733,0.9879188848,0.580692463,0.5307447514,0.6311265415,0.5767204837,0.3213255746,0.7752031659,0.4339533447,0.66486267,0.6773145472,0.5289487522,0.4534551586,0.7866524912,0.5134593243,0.9157014198,0.6925354061,0.6161872875
1980-6-01T00:00:00Z,19.10217945,19.5961379,21.30927822,21.23426558,21.26698631,21.56542374,19.15271059,21.94315501,20.77825854,20.3928343,21.18888128,21.50760451,19.85590458,21.00655053,20.01342532,20.94739169,19.40509436,2.692627148,1.84996179,1.19578939,1.487069465,0.5128145468,0.4291298421,1.006784212,0.6020131508,1.787602005,1.737469941,1.372966247,0.9017886095,1.651390346,1.362406009,3.587355543,1.813755356,0.7680513148,1.640922651,1.360133005,1.093521554,1.219454577,0.7161107085,0.6550800272,1.003386372,0.7758950643,1.337012343,1.31813123,1.171736424,0.9496255101,1.285064335,1.167221491,1.894031558,1.346757349,0.8763853689
1980-7-01T00:00:00Z,20.77897451,22.18041379,25.46424119,24.44536242,25.28539573,26.44491519,20.71600733,26.46328412,23.94025684,23.11281981,25.3098958,25.46622165,21.81354272,24.55860698,22.61480459,24.22223183,21.28754713,9.07172454,11.09389497,5.585116201,6.253019724,1.94061911,2.32092709,2.543785322,2.931606236,7.183329421,7.018059285,5.590515995,4.347975922,4.700526467,6.79496157,12.49420957,7.47256575,1.479641162,3.011930368,3.330749911,2.363285044,2.500603872,1.393061057,1.523458923,1.594924864,1.712193399,2.680173394,2.649161997,2.364427202,2.085180069,2.168069756,2.606714708,3.53471492,2.733599413,1.216405016
1980-8-01T00:00:00Z,19.72512812,20.83420689,23.70173042,23.15111067,24.24690513,24.49813552,19.9233883,24.30498156,22.54572396,21.61777617,23.74322457,23.73835969,20.96868177,23.02741295,20.97085055,22.91890647,19.68726408,7.211322207,8.477658231,4.227683947,3.764048168,0.5566626584,1.020350556,2.565598596,1.952488082,5.40944118,5.162019817,4.42585845,3.063124762,3.804366564,4.519531061,10.33628275,5.434872542,1.74821455,2.685390513,2.911641845,2.056133251,1.940115504,0.7460982901,1.01012403,1.601748606,1.397314597,2.325820539,2.272007882,2.103772433,1.750178494,1.950478547,2.125918875,3.215008982,2.331281309,1.322200647
1980-9-01T00:00:00Z,20.53820512,21.39289653,23.60641265,23.16733217,23.66625321,23.86305104,20.76921242,24.12014759,22.83872141,22.38138084,23.46782011,23.78773568,21.40688978,23.21213933,22.04434483,23.07661787,21.70216976,4.923837431,3.601426059,1.597945226,2.696301102,0.4386220035,0.3194719133,2.171187513,0.5390701348,2.873029876,2.8343808,1.823123274,1.208575978,2.765524612,2.306116332,5.2914283,2.931349533,0.9721415622,2.218972156,1.897742358,1.264098582,1.642041748,0.6622854396,0.5652184651,1.473494999,0.7342139571,1.695001438,1.683561938,1.350230822,1.099352527,1.662986654,1.518590245,2.300310479,1.712118434,0.9859723942
