Year,Timestep,EcoregionName,EcoregionIndex,ppt,min_airtemp,max_airtemp,std_ppt,std_temp,winddirection,windspeed,ndeposition,
1980, 1, BS1, 1, 18.37, 6.89, 16.12, 7.24, 1.01, 0, 0, -99, 
1980, 2, BS1, 1, 23.21, 7.42, 17.42, 12.84, 1.13, 0, 0, -99, 
1980, 3, BS1, 1, 6.57, 5.58, 16.77, 1.25, 1.23, 0, 0, -99, 
1980, 4, BS1, 1, 4.84, 7.13, 17.78, 1.63, 0.77, 0, 0, -99, 
1980, 5, BS1, 1, 1.55, 7.97, 16.34, 0.32, 0.85, 0, 0, -99, 
1980, 6, BS1, 1, 0.13, 9.42, 19.1, 0.09, 1.23, 0, 0, -99, 
1980, 7, BS1, 1, 1.34, 12.26, 20.78, 0.41, 2.34, 0, 0, -99, 
1980, 8, BS1, 1, 0.02, 11.92, 19.73, 0.02, 2.07, 0, 0, -99, 
1980, 9, BS1, 1, 0.13, 11.08, 20.54, 0.09, 1.64, 0, 0, -99, 
1980, 10, BS1, 1, 0.15, 9.11, 21.16, 0.06, 1.34, 0, 0, -99, 
1980, 11, BS1, 1, 0.26, 5.99, 20.86, 0.3, 0.75, 0, 0, -99, 
1980, 12, BS1, 1, 6.14, 5.43, 19.21, 4.21, 0.85, 0, 0, -99, 
1980, 1, BS2, 2, 23.45, 6.06, 15.01, 11.48, 1.88, 0, 0, -99, 
1980, 2, BS2, 2, 33.19, 6.56, 16.14, 19, 2.09, 0, 0, -99, 
1980, 3, BS2, 2, 7.29, 4.63, 15.63, 1.91, 2.06, 0, 0, -99, 
1980, 4, BS2, 2, 6.21, 6.53, 17.38, 2.47, 1.09, 0, 0, -99, 
1980, 5, BS2, 2, 1.82, 7.5, 16.4, 0.36, 0.77, 0, 0, -99, 
1980, 6, BS2, 2, 0.19, 9.48, 19.6, 0.1, 0.99, 0, 0, -99, 
1980, 7, BS2, 2, 1.44, 13.44, 22.18, 0.37, 2.86, 0, 0, -99, 
1980, 8, BS2, 2, 0.02, 12.88, 20.83, 0.01, 2.46, 0, 0, -99, 
1980, 9, BS2, 2, 0.15, 11.46, 21.39, 0.12, 1.46, 0, 0, -99, 
1980, 10, BS2, 2, 0.2, 9.48, 21.69, 0.09, 1.07, 0, 0, -99, 
1980, 11, BS2, 2, 0.55, 5.72, 20.03, 0.54, 1.11, 0, 0, -99, 
1980, 12, BS2, 2, 9.36, 5.43, 18.15, 6.66, 1.33, 0, 0, -99, 
1980, 1, BS3, 3, 31.02, 5.34, 14.16, 9.63, 1.4, 0, 0, -99, 
1980, 2, BS3, 3, 46.49, 5.79, 15.09, 16.92, 1.51, 0, 0, -99, 
1980, 3, BS3, 3, 9.22, 3.45, 14.36, 2.76, 1.6, 0, 0, -99, 
1980, 4, BS3, 3, 7.99, 5.57, 17.45, 2.19, 0.92, 0, 0, -99, 
1980, 5, BS3, 3, 2.09, 6.74, 17.23, 0.5, 1.09, 0, 0, -99, 
1980, 6, BS3, 3, 0.23, 9.23, 21.31, 0.07, 1.4, 0, 0, -99, 
1980, 7, BS3, 3, 1.48, 14.59, 25.46, 0.28, 2.27, 0, 0, -99, 
1980, 8, BS3, 3, 0.04, 13.77, 23.7, 0.04, 2.17, 0, 0, -99, 
1980, 9, BS3, 3, 0.31, 11.8, 23.61, 0.36, 1.4, 0, 0, -99, 
1980, 10, BS3, 3, 0.25, 10.11, 23.16, 0.1, 0.91, 0, 0, -99, 
1980, 11, BS3, 3, 0.7, 5.69, 19.63, 0.31, 0.87, 0, 0, -99, 
1980, 12, BS3, 3, 13.26, 5.42, 17.48, 4.58, 0.95, 0, 0, -99, 
1980, 1, BS4, 4, 26.05, 6.7, 15.52, 6.08, 0.67, 0, 0, -99, 
1980, 2, BS4, 4, 38.2, 6.97, 16.6, 10.84, 0.7, 0, 0, -99, 
1980, 3, BS4, 4, 8.09, 4.64, 15.65, 1.68, 0.93, 0, 0, -99, 
1980, 4, BS4, 4, 6.6, 6.2, 18.07, 1.15, 0.53, 0, 0, -99, 
