LandisData  "Dynamic Input Data"

>> Year	Ecoregion	Species	ProbEstab
0	BS1	Abiebrac	0.5
0	BS1	Abiegran	0.5
0	BS1	Acermacr	0.5
0	BS1	Aesccali	0.5
0	BS1	Alnurhom	0.5
0	BS1	Alnurubr	0.5
0	BS1	Arbumenz	0.5
0	BS1	Lithdens	0.5
0	BS1	Pinuatte	0.5
0	BS1	Pinucoul	0.5
0	BS1	Pinulamb	0.5
0	BS1	Pinumono	0.5
0	BS1	Pinupond	0.5
0	BS1	Pinuradi	0.5
0	BS1	Pinusabi	0.5
0	BS1	Platrace	0.5
0	BS1	Popubals	0.5
0	BS1	Pseumacr	0.5
0	BS1	Pseumenz	0.5
0	BS1	Queragri	0.5
0	BS1	Querchry	0.5
0	BS1	Querdoug	0.5
0	BS1	Quergarr	0.5
0	BS1	Querkell	0.5
0	BS1	Querloba	0.5
0	BS1	Querwisl	0.5
0	BS1	Sequsemp	0.5
0	BS1	Umbecali	0.5
0	BS2	Abiebrac	0.5
0	BS2	Abiegran	0.5
0	BS2	Acermacr	0.5
0	BS2	Aesccali	0.5
0	BS2	Alnurhom	0.5
0	BS2	Alnurubr	0.5
0	BS2	Arbumenz	0.5
0	BS2	Lithdens	0.5
0	BS2	Pinuatte	0.5
0	BS2	Pinucoul	0.5
0	BS2	Pinulamb	0.5
0	BS2	Pinumono	0.5
0	BS2	Pinupond	0.5
0	BS2	Pinuradi	0.5
0	BS2	Pinusabi	0.5
0	BS2	Platrace	0.5
0	BS2	Popubals	0.5
0	BS2	Pseumacr	0.5
0	BS2	Pseumenz	0.5
0	BS2	Queragri	0.5
0	BS2	Querchry	0.5
0	BS2	Querdoug	0.5
0	BS2	Quergarr	0.5
0	BS2	Querkell	0.5
0	BS2	Querloba	0.5
0	BS2	Querwisl	0.5
0	BS2	Sequsemp	0.5
0	BS2	Umbecali	0.5
0	BS3	Abiebrac	0.5
0	BS3	Abiegran	0.5
0	BS3	Acermacr	0.5
0	BS3	Aesccali	0.5
0	BS3	Alnurhom	0.5
0	BS3	Alnurubr	0.5
0	BS3	Arbumenz	0.5
0	BS3	Lithdens	0.5
0	BS3	Pinuatte	0.5
0	BS3	Pinucoul	0.5
0	BS3	Pinulamb	0.5
0	BS3	Pinumono	0.5
0	BS3	Pinupond	0.5
0	BS3	Pinuradi	0.5
0	BS3	Pinusabi	0.5
0	BS3	Platrace	0.5
0	BS3	Popubals	0.5
0	BS3	Pseumacr	0.5
0	BS3	Pseumenz	0.5
0	BS3	Queragri	0.5
0	BS3	Querchry	0.5
0	BS3	Querdoug	0.5
0	BS3	Quergarr	0.5
0	BS3	Querkell	0.5
0	BS3	Querloba	0.5
0	BS3	Querwisl	0.5
0	BS3	Sequsemp	0.5
0	BS3	Umbecali	0.5
0	BS4	Abiebrac	0.5
0	BS4	Abiegran	0.5
0	BS4	Acermacr	0.5
0	BS4	Aesccali	0.5
0	BS4	Alnurhom	0.5
0	BS4	Alnurubr	0.5
0	BS4	Arbumenz	0.5
0	BS4	Lithdens	0.5
0	BS4	Pinuatte	0.5
0	BS4	Pinucoul	0.5
0	BS4	Pinulamb	0.5
0	BS4	Pinumono	0.5
0	BS4	Pinupond	0.5
0	BS4	Pinuradi	0.5
0	BS4	Pinusabi	0.5
0	BS4	Platrace	0.5
0	BS4	Popubals	0.5
0	BS4	Pseumacr	0.5
0	BS4	Pseumenz	0.5
0	BS4	Queragri	0.5
0	BS4	Querchry	0.5
