LandisData  Species

>>         	Longe.	Sexual	Shade	Fire	SeedD1	SeedD2	Vege	Sprout1	Sprout2	PostFire
>> Name.	vity	Maturit	Tol.	Tol.	DistEff	DisMax	RepProb	AgeMin	AgeMax	Regen
>> -----	------	------	-----	----	-------	-------	-------	------	------	--------
Abiebrac	300	20	4	1	60	100	0	300	300	none
Abiegran	325	20	5	3	120	400	0	325	325	none
Acermacr	200	10	4	2	54	150	0.7	0	150	resprout
Aesccali	300	10	2	1	14	40	0.8	0	300	resprout
Alnurhom	160	10	2	1	100	1000	0	100	100	none
Alnurubr	120	10	2	2	250	1000	0.8	2	15	resprout
Arbumenz	400	6	3	1	50	100	0.7	5	400	resprout
Lithdens	400	5	3	3	48	4000	0.9	0	400	resprout
Pinuatte	120	10	1	1	48	4000	0	100	100	none
Pinucoul	160	10	1	3	50	100	0	150	150	serotiny
Pinulamb	550	20	3	3	30	4000	0	550	550	none
Pinumono	1000	20	1	1	24	4000	0	1000	1000	none
Pinupond	929	7	2	4	140	4000	0	929	929	none
Pinuradi	120	5	3	3	70	4000	0	90	90	serotiny
Pinusabi	200	10	2	2	40	4000	0	200	200	none
Platrace	160	6	1	1	70	225	0.39	5	150	resprout
Popubals	200	8	1	2	400	5000	0.5	0	200	resprout
Pseumacr	700	20	2	3	60	600	0.15	25	300	resprout
Pseumenz	1350	15	2	3	140	1400	0	1350	1350	none
Queragri	300	10	4	5	50	4000	0.7	0	250	resprout
Querchry	310	20	4	2	60	4000	0.7	0	300	resprout
Querdoug	400	10	3	3	40	4000	0.25	0	200	resprout
Quergarr	500	10	3	4	60	4000	0.39	0	500	resprout
Querkell	500	30	3	4	50	4000	0.65	0	400	resprout
Querloba	600	10	3	4	90	4000	0.65	0	200	resprout
Querwisl	400	10	3	3	30	4000	0.6	0	200	resprout
Sequsemp	2200	10	5	5	200	1000	0.9	0	2000	resprout
Umbecali	200	30	3	1	36	120	0.9	0	200	resprout

